Les conseils régionaux;;;;
;;;;
                      Région ;         E-mail;Adresse ;Tél;Fax
Béni Mellal khénifra;crombenimellalkhenifra@gmail.com;Villa N° 128 Bloc 42 RIAD ESSALAM BENI MELLAL-2300;05 23 48 55 66;
Casablanca  settat;"centrecrom88@gmail.com
contact@cromc.ma";13 Rue Abou abbas EL MOKRI France ville;0522252345  / 0522252349;522252347
Daraa tafilalet;"Cromdt2019@gmail.com 
";"Appt, N°16, 3éme étage, Immeuble El falah Bd Zerktouni 
B.P 79 - Errachidia ";"0808551622
0639099511";
Fès-Meknès;conseilregionalcentrenord@yahoo.fr;Rue Abdelkrim Benjelloun, Immeuble Espace MARINA-3éme Etage Bureau N°17-18 - Fes;535942384;535940505
Guelmim-oued Noun;crom.gues@gmail.com;Imm F.2ème étage Plateau N°8, Complexe administrative  salma, Av Med VI-Guelmim;528770176;
"Lâayoune-Sakia El hamra
Dakhla Oued Eddahab
";crom.laayoune@gmail.com;"Boulvard Mekka, Immeuble Habous, 3eme étage, Appt n°15  
 -Laayoune-";"0528892088
0627698363";
Marrakech safi;cromrt@gmail.com;"Place 16 Novembre, Plaza, Imm D1-10 - 40000-Marrakech
B.P 823, Barid pro.guéliz";524306712;524207244
ORIENTAL;cromoriental@yahoo.fr;"5, Rue Chefchaoun, Imm. Benkachour, 3° étage Appt.9  
  - OUJDA-
";536687924;
Rabat salé kénitra;cromrsk@gmail.com;"Rue M’touga (Hôpital Ibn Sina) Rabat Madinat Al Irfane
- Rabat –
";537670484;537670458
Souss-Massa;crom.smd@gmail.com;" Imm A, 8ème étage, rés. Yasamine  bureau N°98 Agadir  B.P476 B.P476
 – Agadir - ";528221445;
Tanger-Assilah Al hoceima;cromtangertetouan@gmail.com;Galrie Al andalous 2ème étage N°56 Route CAP Spartel-Tanger 90040;539322774;539322775
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
